,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
221,3571177007,Mixed run/walk,2020-06-06T09:25:37Z,Run,12036.1,5317,6121,99.6,"[52.464021, -2.143671]",48d18350-c72f-4814-8a81-1a4d4b49713c-activity.fit
222,3567902040,Pick up car,2020-06-05T16:11:08Z,Ride,6354.2,1876,2175,92.4,"[52.463017, -2.077365]",c2011e31-cc77-438c-afff-8b6f83a4fbc7-activity.fit
223,3566380769,Ride back from garage,2020-06-05T08:39:28Z,Ride,5780.5,1363,1366,94.7,"[52.46404, -2.143719]",753a4249-83b2-4e17-b3da-c12ac0d292be-activity.fit
224,3562306947,"Run, walk intervals with Daniel on bike over a field",2020-06-04T12:06:08Z,Run,2111.8,757,1214,20.3,"[52.47212, -2.129703]",d4041aa2-4aaa-4942-96d9-b62b844c4adb-activity.fit
225,3558679786,Afternoon Walk,2020-06-03T16:57:32Z,Walk,4287.3,2674,2761,54.0,"[52.464056, -2.143658]",1ab89473-0507-4cff-9f84-ecee10383044-activity.fit
226,3550645646,Morning Walk,2020-06-02T06:00:57Z,Walk,1628.0,1354,1403,28.1,"[52.463973, -2.143704]",115b9f80-1733-4fdc-9803-28b889349804-activity.fit
227,3550603088,Best mile time,2020-06-02T05:50:58Z,Run,1657.1,451,451,14.6,"[52.452806, -2.136683]",3c207b0a-caaa-466c-a203-5d6b55dd1b2a-activity.fit
228,3550583303,Warm up walk/run,2020-06-02T05:33:32Z,Run,1721.2,716,835,21.2,"[52.45281, -2.136729]",bb9d3dec-8eb3-4efb-830a-b0c12531a585-activity.fit
229,3545181534,Morning Ride,2020-06-01T05:41:17Z,Ride,9760.4,2276,2303,61.6,"[52.464006, -2.143464]",631d2ad8-d099-4704-9f0d-6d799f304827-activity.fit
230,3543288254,Afternoon Walk,2020-05-31T17:28:26Z,Walk,4730.1,2254,4149,54.9,"[52.464068, -2.143539]",db51aecc-0bf2-4d59-aba3-c147c5165a4d-activity.fit
